Country,State,Year,Month,Name Of The Fertilizer Used,"Required Fertilizer Quantity (UOM:MT(MetricTonne)), Scaling Factor:1","Available Fertilizer Quantity (UOM:MT(MetricTonne)), Scaling Factor:1"
India,Chhattisgarh,"Financial Year (Apr - Mar), 2016","December, 2016","nitrogen, phosphorus, and potassium",0.00,5282.84
India,Delhi,"Financial Year (Apr - Mar), 2016","December, 2016",Diammonium Phosphate,200.00,258.95
India,Delhi,"Financial Year (Apr - Mar), 2016","December, 2016",Monoammonium Phosphate,0.00,0.00
India,Delhi,"Financial Year (Apr - Mar), 2016","December, 2016",Muriate of Potash (MOP) or Potassium Chloride,0.00,0.00
India,Delhi,"Financial Year (Apr - Mar), 2016","December, 2016",Single super Phosphate,0.00,0.00
India,Delhi,"Financial Year (Apr - Mar), 2016","December, 2016",Triple superphosphate,0.00,0.00
India,Delhi,"Financial Year (Apr - Mar), 2016","December, 2016",UREA,200.00,0.00
India,Delhi,"Financial Year (Apr - Mar), 2016","December, 2016","nitrogen, phosphorus, and potassium",0.00,0.00
India,Goa,"Financial Year (Apr - Mar), 2016","December, 2016",Diammonium Phosphate,0.00,21.15
India,Goa,"Financial Year (Apr - Mar), 2016","December, 2016",Monoammonium Phosphate,0.00,0.00
India,Goa,"Financial Year (Apr - Mar), 2016","December, 2016",Muriate of Potash (MOP) or Potassium Chloride,0.00,0.00
India,Goa,"Financial Year (Apr - Mar), 2016","December, 2016",Single super Phosphate,0.00,0.00
India,Goa,"Financial Year (Apr - Mar), 2016","December, 2016",Triple superphosphate,0.00,0.00
India,Goa,"Financial Year (Apr - Mar), 2016","December, 2016",UREA,0.00,7.90
India,Goa,"Financial Year (Apr - Mar), 2016","December, 2016","nitrogen, phosphorus, and potassium",0.00,2.40
India,Gujarat,"Financial Year (Apr - Mar), 2016","December, 2016",Diammonium Phosphate,0.00,42727.68
India,Gujarat,"Financial Year (Apr - Mar), 2016","December, 2016",Monoammonium Phosphate,0.00,0.00
India,Gujarat,"Financial Year (Apr - Mar), 2016","December, 2016",Muriate of Potash (MOP) or Potassium Chloride,0.00,1912.45
India,Gujarat,"Financial Year (Apr - Mar), 2016","December, 2016",Single super Phosphate,0.00,0.00
India,Gujarat,"Financial Year (Apr - Mar), 2016","December, 2016",Triple superphosphate,0.00,6313.85
India,Gujarat,"Financial Year (Apr - Mar), 2016","December, 2016",UREA,0.00,16368.49
India,Gujarat,"Financial Year (Apr - Mar), 2016","December, 2016","nitrogen, phosphorus, and potassium",0.00,27222.16
India,Haryana,"Financial Year (Apr - Mar), 2016","December, 2016",Diammonium Phosphate,0.00,37329.00
India,Haryana,"Financial Year (Apr - Mar), 2016","December, 2016",Monoammonium Phosphate,0.00,0.00
India,Haryana,"Financial Year (Apr - Mar), 2016","December, 2016",Muriate of Potash (MOP) or Potassium Chloride,0.00,13042.65
India,Haryana,"Financial Year (Apr - Mar), 2016","December, 2016",Single super Phosphate,0.00,0.00
India,Haryana,"Financial Year (Apr - Mar), 2016","December, 2016",Triple superphosphate,0.00,0.00
India,Haryana,"Financial Year (Apr - Mar), 2016","December, 2016",UREA,0.00,9596.30
India,Haryana,"Financial Year (Apr - Mar), 2016","December, 2016","nitrogen, phosphorus, and potassium",0.00,11995.05
India,Himachal Pradesh,"Financial Year (Apr - Mar), 2016","December, 2016",Diammonium Phosphate,0.00,0.00
India,Himachal Pradesh,"Financial Year (Apr - Mar), 2016","December, 2016",Monoammonium Phosphate,0.00,0.00
India,Himachal Pradesh,"Financial Year (Apr - Mar), 2016","December, 2016",Muriate of Potash (MOP) or Potassium Chloride,0.00,0.00
India,Himachal Pradesh,"Financial Year (Apr - Mar), 2016","December, 2016",Triple superphosphate,0.00,0.00
India,Himachal Pradesh,"Financial Year (Apr - Mar), 2016","December, 2016",UREA,0.00,152.40
India,Himachal Pradesh,"Financial Year (Apr - Mar), 2016","December, 2016","nitrogen, phosphorus, and potassium",0.00,20.00
India,Jammu And Kashmir,"Financial Year (Apr - Mar), 2016","December, 2016",Diammonium Phosphate,0.00000000000000000,3186.25390841183334825
India,Jammu And Kashmir,"Financial Year (Apr - Mar), 2016","December, 2016",Monoammonium Phosphate,0.00000000000000000,0.00000000000000000
India,Jammu And Kashmir,"Financial Year (Apr - Mar), 2016","December, 2016",Muriate of Potash (MOP) or Potassium Chloride,0.00000000000000000,3403.14259978133516355
India,Jammu And Kashmir,"Financial Year (Apr - Mar), 2016","December, 2016",Single super Phosphate,0.00000000000000000,0.00000000000000000
India,Jammu And Kashmir,"Financial Year (Apr - Mar), 2016","December, 2016",Triple superphosphate,0.00000000000000000,0.00000000000000000
India,Jammu And Kashmir,"Financial Year (Apr - Mar), 2016","December, 2016",UREA,0.00000000000000000,939.50951576366069745
India,Jammu And Kashmir,"Financial Year (Apr - Mar), 2016","December, 2016","nitrogen, phosphorus, and potassium",0.00000000000000000,0.00000000000000000
India,Jharkhand,"Financial Year (Apr - Mar), 2016","December, 2016",Diammonium Phosphate,0.00,6638.70
India,Jharkhand,"Financial Year (Apr - Mar), 2016","December, 2016",Monoammonium Phosphate,0.00,0.00
India,Jharkhand,"Financial Year (Apr - Mar), 2016","December, 2016",Muriate of Potash (MOP) or Potassium Chloride,0.00,914.45
India,Jharkhand,"Financial Year (Apr - Mar), 2016","December, 2016",Single super Phosphate,0.00,0.00
India,Jharkhand,"Financial Year (Apr - Mar), 2016","December, 2016",Triple superphosphate,0.00,0.00
India,Jharkhand,"Financial Year (Apr - Mar), 2016","December, 2016",UREA,0.00,703.15
India,Jharkhand,"Financial Year (Apr - Mar), 2016","December, 2016","nitrogen, phosphorus, and potassium",0.00,10660.90
India,Karnataka,"Financial Year (Apr - Mar), 2016","December, 2016",Diammonium Phosphate,40000.00,48985.77
India,Karnataka,"Financial Year (Apr - Mar), 2016","December, 2016",Monoammonium Phosphate,0.00,0.00
India,Karnataka,"Financial Year (Apr - Mar), 2016","December, 2016",Muriate of Potash (MOP) or Potassium Chloride,25000.00,51257.55
India,Karnataka,"Financial Year (Apr - Mar), 2016","December, 2016",Single super Phosphate,20000.00,0.00
India,Karnataka,"Financial Year (Apr - Mar), 2016","December, 2016",Triple superphosphate,0.00,11884.85
India,Karnataka,"Financial Year (Apr - Mar), 2016","December, 2016",UREA,170000.00,10301.03
India,Karnataka,"Financial Year (Apr - Mar), 2016","December, 2016","nitrogen, phosphorus, and potassium",118900.00,133576.53
India,Kerala,"Financial Year (Apr - Mar), 2016","December, 2016",Diammonium Phosphate,0.00,2981.95
